comment,date_experience,review_score,timestamp,title,user_name
Avec la période Covid toutes nos formations se sont digitalisées et nous avons suivi avec ce logiciel.,Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 3 ans,Découvert l'an dernier,Anthony
Rien a dire je trouve qu’il font leur travail comme il faut,Temps d'utilisation du logiciel : 1 à 5 mois,"4,0",il y a 12 mois,Très belle découverte,Thomas
My experience with GoToWebinar is smooth. I set up for my collegues to conduct the webinar. They could easily use it.,Temps d'utilisation du logiciel : plus d'un an,"4,0",il y a 4 ans,GoToWebinar to set up webinar easily,Astaeka
"Executed a series of customer webinars to introduce a new version of a software business application : prospects, new customers, installed base. Go To Webinar contributed to making the sessions very lively & interactive and allowed to show the new features in action. Timely feedback collected just at the end of each webinar, directly through the tool, proved very relevant.",Temps d'utilisation du logiciel : plus de deux ans,"4,0",l’année dernière,Optimal tool for hybrid event management to reach out a wider audience and boost your customer base,Utilisateur vérifié
"I use GoToWebinar to visit some conferences and it is a very good, reliable tool. It is a must for big meetings with a lot of guests.",Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 5 ans,A very professionnal tool for all types of audience.,Virginie
I have to use this app to connect for webinar which are propsed by firms. It is not every day but sometimes.,Temps d'utilisation du logiciel : 1 à 5 mois,"5,0",il y a 3 ans,cool,ayse
Excellent.,Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 2 mois,Enthusiastic user,Christele
"Worked well and created a real conference experience with the attendee list and possibility to contact other attendees, Q&A and chat functions etc. While my immediate organisation is perhaps unlikely to organise anything big enough to use Whova, I would likely recommend the platform for my contacts.",Temps d'utilisation du logiciel : 1 à 5 mois,"5,0",il y a 3 ans,Seamless experience for a user / conference participant,Juho
very good,Temps d'utilisation du logiciel : Essai gratuit,"5,0",l’année dernière,review,eric
Overall positive experience.,Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 6 mois,used twice only,Mikhail
Thought it was a really useful app - which I was able to download on to my personal device (some work devices don't allow this). Liked the fact that all the documents were in one place & could be printed from there if needed.Able to keep up to date with updates & changes.,Temps d'utilisation du logiciel : 1 à 5 mois,"4,0",il y a 2 mois,Whova user,Sarah
It allows me to find the contacts of the people I met during a trade show and to exchange with them.,Temps d'utilisation du logiciel : 1 à 5 mois,"5,0",il y a 10 mois,Report,Léone
It was really a nice interface,Temps d'utilisation du logiciel : 1 à 5 mois,"5,0",il y a 3 ans,Conference Partcipant,Khadim Ullah
Good experience and efficient tool with some perfectible features,Temps d'utilisation du logiciel : Essai gratuit,"5,0",il y a 2 ans,Good performance,Farouk
Ce produit est a fuir! Le support sur la zone Europe est tres aléatoire. Ils sont tres forts pour vendre la solution et une vraie catastrophe pour vous aider !,Temps d'utilisation du logiciel : plus d'un an,"1,0",l’année dernière,Une solution daté et extremement cher. A fuir !,Pascal
super car tout baigne en ce moment et depuis ma secrétariat bouge à merveille tout es nikel et travail pour dix donc je suis gagnant sur toute les lignes,Temps d'utilisation du logiciel : plus de deux ans,"5,0",l’année dernière,AFFAIRES GRAMMATICALES c es du haut niveau,françois
"Grammarly highly improved our communication with partners and clients. Besides, it improved our whole team's writing skills (My review was done using Grammarly).",Temps d'utilisation du logiciel : plus de deux ans,"5,0",l’année dernière,"A proofreading tool that is a total lifesaver, and beyond any regular spell checker",Lawrent
"In terms of overall experience, this software remains a faithful friend to me in the writing of my scientific papers and all my professional communications.",Temps d'utilisation du logiciel : plus d'un an,"5,0",l’année dernière,"What is Grammarly Business? Grammarly Business helps 30,000 teams improve their communication at wor",Utilisateur vérifié
"My overall experience with Grammarly business is very good and I like to work with this kind of tool, it helps me and my collaborators a lot when we work together",Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 2 ans,Grammarly business is a very good software in it’s domain,Lenny
"Simpler to use inside internet based projects like Google docs, email, and so on.",Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 2 ans,Best guide for business composing,Abdellatif
"It's a definent time-saver, while it makes you look like a professional. Let's face it, no matter how good your ideas are, solutions. If they can not be dephired, ""How good are they really""?",Temps d'utilisation du logiciel : plus de deux ans,"5,0",il y a 2 ans,"Grammarly correct, more time spent on development and less on mistakes!",Stephen
Being able to present yourself well as a professional with minimal errors in English.,Temps d'utilisation du logiciel : plus de deux ans,"4,0",il y a 2 ans,Efficient with some hiccups,Melissa
i was passed a great experience with this amazing compagny,Temps d'utilisation du logiciel : 6 à 12 mois,"5,0",il y a 2 mois,my Description of my happiness,imad
"Excellent, really a product to recommend even in the free version!",Temps d'utilisation du logiciel : plus de deux ans,"4,0",il y a 2 ans,Wonderful assistant for content creators but not only,Utilisateur vérifié
I have been using Grammarly from months and I have found out that it helps in many ways like,Temps d'utilisation du logiciel : 6 à 12 mois,"5,0",l’année dernière,"The best app for writing letters, emails etc.",Prateek
"We love Grammarly, is the only tool with that kind of accuracy.",Temps d'utilisation du logiciel : plus de deux ans,"4,0",il y a 4 ans,The best tool for grammar,Utilisateur vérifié
"Since 2 years, there has not been a single mail or report written without the help of this software. This is really hekpful",Temps d'utilisation du logiciel : plus d'un an,"5,0",l’année dernière,Grammarly Business Review,Kilian
"It´s easy, you just activate the plugin, and whenever and wherever you write it automatically shows up to help you with your grammar!",Temps d'utilisation du logiciel : plus d'un an,"5,0",il y a 3 ans,Amazing plugin,rocio
A very fun extension that saved me alot of time and trouble.,Temps d'utilisation du logiciel : 6 à 12 mois,"5,0",il y a 3 ans,Grammarly for everyone!,Yasmina
"I have the ability to write better speeches, feedback and overviews with it. Procure quality",Temps d'utilisation du logiciel : plus d'un an,"4,0",il y a 2 ans,Your Writing tool,Utilisateur vérifié
"Great so far, nearly a year and really happy about it.",Temps d'utilisation du logiciel : 6 à 12 mois,"5,0",il y a 2 ans,One of the best grammar/spelling/plagiarism tools,Marc
